,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2018-07-17,5.8,5.84,5.79,5.81,5.69129442768,7242221,0.0000,1.0,5.7060,5.7198,49.0177,22.7753,35.9619,-0.0150,0.0061,-0.0088,10.1445,-9.7470,0.0000,50.0000,5.5199,5.8921,5.7060,1334514488.0783,-772908164.0000
2018-07-16,5.87,5.9,5.84,5.88,5.75986424006,10086456,0.0000,1.0,5.7182,5.7227,51.9183,40.8355,52.9051,-0.0165,0.0093,-0.0073,10.3149,30.3233,0.0000,55.0000,5.5071,5.9294,5.7182,1335962932.2777,-765665943.0000
2018-07-13,5.86,5.88,5.8,5.81,5.69129442768,14247033,0.0000,1.0,5.7300,5.7188,49.0544,44.2749,66.3552,-0.0189,0.0067,-0.0121,10.7208,-11.6236,0.0000,60.0000,5.4871,5.9729,5.7300,1332600780.2789,-775752399.0000
2018-07-12,5.83,5.92,5.83,5.9,5.77945561503,14318333,0.0000,1.0,5.7447,5.7217,52.9032,73.6049,80.6169,-0.0205,0.0094,-0.0111,11.0515,13.6580,5.0000,65.0000,5.4785,6.0109,5.7447,1343286055.0298,-761505366.0000
2018-07-11,5.88,5.91,5.83,5.84,5.72068149013,12723523,0.0000,1.0,5.7535,5.7157,50.4405,81.1858,81.3384,-0.0229,0.0042,-0.0187,11.5311,-5.7401,10.0000,70.0000,5.4720,6.0350,5.7535,1335331425.5839,-775823699.0000
2018-07-10,5.93,5.97,5.91,5.95,5.82843405244,9709481,0.0000,1.0,5.7579,5.7151,55.4945,87.0601,72.1571,-0.0239,0.0018,-0.0221,11.9911,38.2640,15.0000,75.0000,5.4759,6.0400,5.7579,1344874067.8347,-763100176.0000
2018-07-09,5.85,5.87,5.8001,5.85,5.73047717761,14221347,0.0000,1.0,5.7555,5.7032,51.2784,75.7692,54.3305,-0.0244,-0.0127,-0.0371,12.4225,-17.3714,20.0000,80.0000,5.4751,6.0359,5.7555,1341637574.1691,-772809657.0000
2018-07-06,5.76,5.79,5.74,5.76,5.64231599027,16111083,0.0000,1.0,5.7550,5.7003,46.9845,53.6420,39.1564,-0.0212,-0.0245,-0.0458,12.8330,-60.7219,25.0000,85.0000,5.4744,6.0356,5.7550,1335554337.0416,-787031004.0000
2018-07-05,5.69,5.74,5.665,5.73,5.61292892782,11288309,0.0000,1.0,5.7589,5.7064,45.4624,33.5802,31.2551,-0.0151,-0.0321,-0.0471,12.8730,-95.5597,30.0000,90.0000,5.4825,6.0352,5.7589,1338776553.6377,-803142087.0000
2018-07-03,5.67,5.71,5.6436,5.68,5.5639504904,8570561,0.0000,1.0,5.7667,5.7163,42.8651,30.2469,28.3951,-0.0071,-0.0382,-0.0452,12.6545,-129.7989,35.0000,95.0000,5.4986,6.0349,5.7667,1330498460.3702,-814430396.0000
2018-07-02,5.62,5.67,5.61,5.65,5.53456342795,12536679,0.0000,1.0,5.7775,5.7323,41.2709,29.9383,24.2016,0.0025,-0.0396,-0.0371,12.2654,-174.0933,40.0000,100.0000,5.5260,6.0290,5.7775,1329672382.2014,-823000957.0000
2018-06-29,5.76,5.81,5.75,5.75,5.63252030278,9961302,0.0000,1.0,5.7912,5.7531,45.2710,25.0000,20.4444,0.0124,-0.0357,-0.0233,11.6423,-110.1050,45.0000,95.0000,5.5656,6.0168,5.7912,1325493489.2028,-810464278.0000
2018-06-28,5.64,5.74,5.62,5.71,5.59333755285,16003707,0.0000,1.0,5.7961,5.7658,43.1782,17.6667,22.5661,0.0213,-0.0365,-0.0152,11.4923,-183.0601,50.0000,100.0000,5.5805,6.0117,5.7961,1335454791.2028,-820425580.0000
2018-06-27,5.84,5.88,5.73,5.73,5.61292892782,18466947,0.0000,1.0,5.8000,5.7840,43.9770,18.6667,25.7989,0.0304,-0.0312,-0.0007,10.9487,-119.9229,55.0000,0.0000,5.5968,6.0032,5.8000,1327452937.7028,-804421873.0000
2018-06-26,5.83,5.85,5.795,5.83,5.71088580265,16130411,0.0000,1.0,5.8003,5.8020,48.2136,31.3651,28.8280,0.0382,-0.0224,0.0158,10.8113,-75.9193,60.0000,0.0000,5.5981,6.0025,5.8003,1345919884.7028,-785954926.0000
2018-06-25,5.88,5.88,5.76,5.83,5.71088580265,18172303,0.0000,1.0,5.7948,5.8116,48.2136,27.3651,26.1693,0.0438,-0.0172,0.0266,10.9536,-66.9036,65.0000,5.0000,5.5775,6.0120,5.7948,1341520681.7007,-785954926.0000
2018-06-22,5.96,5.98,5.87,5.95,5.82843405244,14082938,0.0000,1.0,5.7981,5.8222,53.8297,27.7540,30.6217,0.0481,-0.0080,0.0401,11.1034,18.1475,70.0000,10.0000,5.5841,6.0121,5.7981,1338491964.5332,-767782623.0000
2018-06-21,5.94,5.94,5.87,5.91,5.78925130251,16293999,0.0000,1.0,5.7933,5.8216,52.0614,23.3889,42.0980,0.0501,-0.0054,0.0448,11.5989,0.2531,75.0000,15.0000,5.5779,6.0087,5.7933,1332090629.0791,-781865561.0000
2018-06-20,5.96,6.01,5.93,5.97,5.84802542741,20032801,0.0000,1.0,5.7904,5.8250,55.0668,40.7222,62.3525,0.0515,0.0026,0.0541,12.1004,50.5469,80.0000,20.0000,5.5733,6.0075,5.7904,1329762914.9370,-765571562.0000
2018-06-19,5.94,5.98,5.9,5.96,5.83822973993,23450547,0.0000,1.0,5.7898,5.8225,54.6523,62.1828,78.9511,0.0508,0.0083,0.0591,12.5493,33.4047,85.0000,25.0000,5.5733,6.0062,5.7898,1329762914.9370,-785604363.0000
2018-06-18,5.98,6.08,5.96,6.06,5.93618661476,15349978,0.0000,1.0,5.7915,5.8209,59.9017,84.1525,86.3353,0.0487,0.0170,0.0658,13.1646,95.2197,90.0000,30.0000,5.5729,6.0100,5.7915,1318037641.4340,-762153816.0000
2018-06-15,6.11,6.12,6.07,6.12,5.99496073966,11341059,0.0000,1.0,5.7864,5.8087,63.3712,90.5181,83.4381,0.0445,0.0188,0.0633,13.5124,155.6862,95.0000,35.0000,5.5770,5.9958,5.7864,1307804322.7660,-746803838.0000
2018-06-14,6.12,6.14,6.1,6.11,5.98516505217,10406871,0.0000,1.0,5.7780,5.7891,63.0322,84.3353,70.9638,0.0398,0.0134,0.0532,13.2667,189.1764,100.0000,40.0000,5.5904,5.9655,5.7780,1296463263.7660,-758144897.0000
2018-06-13,6.01,6.12,6.0,6.08,5.95577798972,17028883,0.0000,1.0,5.7723,5.7685,62.0306,75.4608,54.4393,0.0364,0.0041,0.0406,12.8270,167.7133,100.0000,45.0000,5.6042,5.9404,5.7723,1301666699.2673,-768551768.0000
2018-06-12,5.9,5.97,5.89,5.93,5.80884267748,10266694,0.0000,1.0,5.7691,5.7488,56.4226,53.0952,41.3059,0.0354,-0.0086,0.0268,12.4417,46.0221,0.0000,50.0000,5.6132,5.9251,5.7691,1295990404.9359,-785580651.0000
2018-06-11,5.84,5.93,5.83,5.9,5.77945561503,8054726,0.0000,1.0,5.7751,5.7425,55.1644,34.7619,42.2218,0.0376,-0.0137,0.0239,12.6849,-2.3740,0.0000,55.0000,5.6049,5.9454,5.7751,1295990404.9359,-795847345.0000
2018-06-08,5.86,5.88,5.81,5.84,5.72068149013,7495599,0.0000,1.0,5.7864,5.7386,52.5620,36.0606,57.1273,0.0410,-0.0182,0.0228,13.1384,-45.1774,5.0000,60.0000,5.5889,5.9839,5.7864,1292768514.5361,-803902071.0000
2018-06-07,5.86,5.89,5.81,5.84,5.72068149013,10623031,0.0000,1.0,5.7992,5.7404,52.5620,55.8429,73.1070,0.0456,-0.0186,0.0270,13.7876,-49.2096,10.0000,65.0000,5.5878,6.0106,5.7992,1293839314.3929,-803902071.0000
2018-06-06,5.85,5.91,5.84,5.89,5.76965992755,12227678,0.0000,1.0,5.8119,5.7425,54.9612,79.4784,80.2808,0.0502,-0.0182,0.0320,14.4709,-31.9035,15.0000,70.0000,5.5904,6.0335,5.8119,1296495072.1433,-793279040.0000
2018-06-05,5.93,5.95,5.885,5.9,5.77945561503,12669683,0.0000,1.0,5.8185,5.7397,55.4421,83.9995,73.8404,0.0548,-0.0219,0.0329,15.1272,-13.9217,20.0000,75.0000,5.5946,6.0424,5.8185,1291254638.7127,-781051362.0000
2018-06-04,5.93,5.96,5.91,5.93,5.80884267748,11761665,0.0000,1.0,5.8208,5.7355,56.8598,77.3643,59.3744,0.0602,-0.0276,0.0326,15.5926,-0.3600,25.0000,80.0000,5.5976,6.0440,5.8208,1298076775.7105,-768381679.0000
2018-06-01,5.85,5.86,5.81,5.85,5.73047717761,12903717,0.0000,1.0,5.8174,5.7278,53.8716,60.1574,46.9257,0.0671,-0.0384,0.0288,15.9557,-57.9740,30.0000,0.0000,5.5916,6.0433,5.8174,1300429108.7095,-780143344.0000
2018-05-31,5.8,5.8372,5.74,5.79,5.67170305271,20110714,0.2364,1.0,5.8081,5.7275,51.4768,40.6014,38.8779,0.0767,-0.0453,0.0314,16.7909,-75.0744,35.0000,0.0000,5.5547,6.0614,5.8081,1292686878.5127,-793047061.0000
2018-05-30,5.95,6.0,5.901,5.97,5.61858903417,18310665,0.0000,1.0,5.7965,5.7333,49.2133,40.0183,37.8150,0.0881,-0.0477,0.0403,17.5696,-96.8969,40.0000,5.0000,5.5014,6.0915,5.7965,1292107557.5344,-813157775.0000
2018-05-29,5.87,5.98,5.86,5.95,5.59976629033,32514152,0.0000,1.0,5.7946,5.7454,48.4030,36.0140,33.8695,0.1000,-0.0435,0.0565,18.0282,-109.2700,45.0000,10.0000,5.4946,6.0946,5.7946,1284894265.2610,-831468440.0000
2018-05-25,6.0,6.14,5.99,6.14,5.77858235675,19288940,0.0000,1.0,5.7974,5.7607,56.5454,37.4126,36.0062,0.1109,-0.0325,0.0783,18.4124,-31.9103,50.0000,15.0000,5.5038,6.0910,5.7974,1268637189.2610,-798954288.0000
2018-05-24,6.1,6.13,6.05,6.09,5.73152549716,8673123,0.0000,1.0,5.7889,5.7589,54.6377,28.1818,36.3131,0.1190,-0.0322,0.0867,19.3754,-27.1480,55.0000,20.0000,5.4841,6.0938,5.7889,1249348249.2610,-818243228.0000
2018-05-23,6.04,6.1,6.03,6.09,5.73152549716,11520724,0.0000,1.0,5.7786,5.7617,54.6377,42.4242,37.2896,0.1270,-0.0260,0.1011,20.1121,-28.0634,60.0000,25.0000,5.4533,6.1039,5.7786,1249348249.2622,-818243228.0000
2018-05-22,6.18,6.25,6.17,6.2,5.83505058825,8294288,0.0000,1.0,5.7706,5.7649,59.8551,38.3333,28.6393,0.1335,-0.0157,0.1178,21.0212,33.2619,65.0000,30.0000,5.4334,6.1078,5.7706,1241119160.6923,-806722504.0000
2018-05-21,6.22,6.25,6.1948,6.24,5.87269607591,6046217,0.0000,1.0,5.7579,5.7575,61.8969,31.1111,23.5507,0.1375,-0.0104,0.1270,21.2475,46.2963,70.0000,35.0000,5.4123,6.1034,5.7579,1243192732.6920,-798428216.0000
2018-05-18,6.23,6.25,6.18,6.2,5.83505058825,9290051,0.0000,1.0,5.7414,5.7454,60.6207,16.4734,25.7407,0.1401,-0.0070,0.1331,21.3430,44.1907,75.0000,40.0000,5.3880,6.0948,5.7414,1239337174.0261,-804474433.0000
2018-05-17,6.2,6.24,6.17,6.19,5.82563921633,8511908,0.0000,1.0,5.7301,5.7360,60.3050,23.0676,39.6337,0.1418,0.0008,0.1427,21.4436,44.8470,80.0000,45.0000,5.3750,6.0853,5.7301,1243318624.4531,-813764484.0000
2018-05-16,6.23,6.27,6.18,6.24,5.87269607591,8481075,0.0000,1.0,5.7132,5.7265,62.6928,37.6812,57.0597,0.1416,0.0122,0.1538,21.5856,62.8306,85.0000,50.0000,5.3457,6.0806,5.7132,1246966585.0249,-805252576.0000
2018-05-15,6.2,6.27,6.18,6.26,5.89151881975,10522051,0.0000,1.0,5.6948,5.7112,63.6505,58.1522,74.9286,0.1386,0.0224,0.1610,21.6840,73.5865,90.0000,0.0000,5.3244,6.0652,5.6948,1244139560.0249,-796771501.0000
2018-05-14,6.26,6.37,6.22,6.3,5.92916430741,26716877,0.0000,1.0,5.6760,5.6922,65.5531,75.3458,86.9427,0.1330,0.0329,0.1659,21.7875,108.2072,95.0000,0.0000,5.3093,6.0427,5.6760,1235955742.5788,-786249450.0000
2018-05-11,6.36,6.41,6.35,6.38,6.00445528274,11567929,0.0000,1.0,5.6435,5.6672,69.5003,91.2879,93.5808,0.1248,0.0411,0.1659,21.7051,160.7160,100.0000,0.0000,5.2577,6.0293,5.6435,1234174617.4467,-759532573.0000
2018-05-10,6.33,6.41,6.3149,6.35,5.97622116699,12547094,0.0000,1.0,5.6031,5.6317,68.8317,94.1943,94.4342,0.1145,0.0414,0.1559,20.9461,177.4219,100.0000,5.0000,5.2075,5.9986,5.6031,1234174617.4467,-771100502.0000
2018-05-09,6.27,6.35,6.23,6.35,5.97622116699,12256363,0.0000,1.0,5.5659,5.5955,68.8317,95.2603,88.9560,0.1042,0.0395,0.1436,20.1471,181.0633,100.0000,10.0000,5.1779,5.9539,5.5659,1237459818.7161,-771100502.0000
2018-05-08,6.2,6.29,6.18,6.27,5.90093019166,15803752,0.0000,1.0,5.5292,5.5554,67.0958,93.8479,73.9561,0.0943,0.0317,0.1259,19.4576,172.5945,100.0000,0.0000,5.1653,5.8931,5.5292,1225203455.7161,-783356865.0000
2018-05-07,6.2,6.24,6.17,6.19,5.82563921633,11854970,0.0000,1.0,5.4939,5.5190,65.2575,77.7599,54.3422,0.0864,0.0228,0.1092,18.8890,164.4706,100.0000,0.0000,5.1444,5.8433,5.4939,1215146522.6269,-799160617.0000
2018-05-04,5.98,6.115,5.97,6.1,5.74093686908,21312598,0.0000,1.0,5.4572,5.4867,63.0513,50.2604,44.7626,0.0807,0.0132,0.0939,18.4252,109.1331,100.0000,0.0000,5.1007,5.8137,5.4572,1220227224.0560,-811015587.0000
2018-05-03,5.87,5.9,5.785,5.89,5.54329805883,13567139,0.0000,1.0,5.4238,5.4600,56.9985,35.0062,51.1670,0.0774,0.0043,0.0817,18.3005,33.7277,55.0000,5.0000,5.0549,5.7927,5.4238,1203324129.0921,-832328185.0000
2018-05-02,5.88,5.89,5.761,5.78,5.43977296775,20610775,0.0000,1.0,5.4012,5.4512,53.1819,49.0211,58.6879,0.0763,0.0087,0.0849,18.9404,21.3796,60.0000,0.0000,5.0097,5.7927,5.4012,1192116492.5277,-845895324.0000
2018-05-01,6.0,6.01,5.88,5.93,5.5809435465,12682572,0.0000,1.0,5.3847,5.4524,60.0910,69.4737,55.3686,0.0741,0.0243,0.0984,19.6546,68.0119,65.0000,5.0000,4.9739,5.7956,5.3847,1206655876.4428,-825284549.0000
2018-04-30,5.98,6.03,5.97,6.01,5.65623452183,19859124,0.0000,1.0,5.3607,5.4389,64.3251,57.5689,41.8440,0.0680,0.0318,0.0999,19.8368,94.4837,70.0000,10.0000,4.9425,5.7789,5.3607,1209582623.8276,-812601977.0000
2018-04-27,5.93,6.01,5.93,5.96,5.60917766225,18985661,0.0000,1.0,5.3315,5.4160,62.7674,39.0632,35.3787,0.0601,0.0325,0.0926,19.5411,93.7533,75.0000,15.0000,4.9185,5.7446,5.3315,1202962915.8323,-832461101.0000
2018-04-26,5.86,5.98,5.83,5.87,5.524475315,44361209,0.0000,1.0,5.3085,5.3957,59.7631,28.8998,39.4377,0.0520,0.0348,0.0867,19.2971,82.0812,80.0000,20.0000,4.9087,5.7082,5.3085,1207709331.0816,-851446762.0000
2018-04-25,6.01,6.02,5.9,5.92,5.57153217458,26456961,0.0000,1.0,5.2878,5.3821,62.4214,38.1730,52.1143,0.0433,0.0433,0.0866,19.1399,112.3465,85.0000,25.0000,4.8920,5.6835,5.2878,1228411228.6175,-807085553.0000
2018-04-24,5.92,5.96,5.87,5.93,5.5809435465,13294373,0.0000,1.0,5.2652,5.3622,62.9534,51.2402,67.0216,0.0324,0.0479,0.0804,18.5970,122.6697,90.0000,30.0000,4.8856,5.6448,5.2652,1246049202.6190,-780628592.0000
2018-04-23,5.93,5.94,5.86,5.89,5.54329805883,11420962,0.0000,1.0,5.2468,5.3392,61.7134,66.9298,79.9273,0.0205,0.0499,0.0703,18.2117,137.0936,95.0000,35.0000,4.8956,5.5980,5.2468,1241617744.9524,-793922965.0000
2018-04-20,6.05,6.11,5.93,5.96,5.60917766225,24388336,0.0000,1.0,5.2266,5.3177,65.3499,82.8947,86.1833,0.0080,0.0523,0.0603,17.8690,216.8536,100.0000,40.0000,4.9003,5.5529,5.2266,1244472985.4531,-782502003.0000
2018-04-19,5.84,5.87,5.82,5.83,5.48682982734,10763386,0.0000,1.0,5.2050,5.2870,61.3297,89.9573,82.4318,-0.0051,0.0450,0.0399,17.1362,191.9831,95.0000,45.0000,4.9296,5.4803,5.2050,1260731876.1198,-806890339.0000
2018-04-18,5.87,5.89,5.83,5.85,5.50565257117,7309797,0.0000,1.0,5.1993,5.2660,62.3876,85.6980,73.7212,-0.0163,0.0421,0.0258,17.1779,228.4301,100.0000,50.0000,4.9433,5.4553,5.1993,1267189907.7180,-796126953.0000
2018-04-17,5.77,5.88,5.73,5.86,5.51506394308,24856880,0.0000,1.0,5.1946,5.2407,62.9030,71.6400,66.7391,-0.0269,0.0323,0.0055,17.1664,225.2346,100.0000,55.0000,4.9586,5.4306,5.1946,1269626506.7180,-788817156.0000
2018-04-16,5.58,5.66,5.54,5.61,5.27977964517,12230913,0.0000,1.0,5.1880,5.2118,53.8474,63.8256,68.7907,-0.0350,0.0134,-0.0215,17.1921,67.9981,10.0000,60.0000,4.9829,5.3932,5.1880,1251398128.0536,-813674036.0000
2018-04-13,5.53,5.56,5.49,5.52,5.19507729792,8669954,0.0000,1.0,5.1937,5.2047,49.6434,64.7516,71.0663,-0.0383,0.0066,-0.0317,18.0043,-2.1350,0.0000,65.0000,4.9731,5.4142,5.1937,1249359642.5538,-825904949.0000
2018-04-12,5.58,5.6,5.55,5.56,5.23272278559,11087103,0.0000,1.0,5.2050,5.2057,51.6291,77.7950,69.0208,-0.0400,0.0043,-0.0356,18.2933,19.5222,0.0000,70.0000,4.9631,5.4468,5.2050,1250598207.4113,-817234995.0000
2018-04-11,5.53,5.64,5.53,5.57,5.24213415751,14004500,0.0000,1.0,5.2172,5.2029,52.1242,70.6522,58.2288,-0.0410,-0.0029,-0.0439,18.8926,15.3519,0.0000,75.0000,4.9478,5.4866,5.2172,1257250469.2104,-806147892.0000
2018-04-10,5.53,5.55,5.48,5.52,5.19507729792,18625712,0.0000,1.0,5.2308,5.1987,49.8391,58.6151,50.6950,-0.0403,-0.0145,-0.0548,19.5235,-23.2892,5.0000,80.0000,4.9318,5.5299,5.2308,1261069878.3001,-820152392.0000
2018-04-09,5.45,5.49,5.41,5.41,5.09155220684,8937089,0.0000,1.0,5.2501,5.1991,44.2808,45.4191,47.0853,-0.0367,-0.0265,-0.0632,19.6530,-61.7169,10.0000,85.0000,4.9151,5.5851,5.2501,1258409062.3017,-838778104.0000
2018-04-06,5.45,5.5,5.36,5.39,5.07272946301,13610066,0.0000,1.0,5.2727,5.2104,43.1935,48.0507,45.2567,-0.0301,-0.0322,-0.0623,19.3950,-74.6459,0.0000,90.0000,4.9230,5.6225,5.2727,1267346151.3017,-847715193.0000
2018-04-05,5.48,5.5,5.41,5.41,5.09155220684,11591678,0.0000,1.0,5.2953,5.2249,44.0094,47.7861,40.2847,-0.0220,-0.0364,-0.0585,19.1233,-72.9500,5.0000,95.0000,4.9418,5.6488,5.2953,1275123331.8730,-834105127.0000
2018-04-04,5.33,5.44,5.32,5.43,5.11037495067,11376950,0.0000,1.0,5.3174,5.2390,44.8135,39.9332,33.1126,-0.0129,-0.0417,-0.0546,19.0382,-97.3823,10.0000,100.0000,4.9623,5.6725,5.3174,1286715009.8730,-822513449.0000
2018-04-03,5.41,5.44,5.38,5.42,5.10096357876,11824106,0.0000,1.0,5.3358,5.2525,44.3303,33.1349,26.9709,-0.0025,-0.0483,-0.0508,18.5597,-104.2571,15.0000,95.0000,4.9875,5.6840,5.3358,1277234218.2070,-833890399.0000
2018-04-02,5.45,5.47,5.34,5.39,5.07272946301,9028549,0.0000,1.0,5.3560,5.2685,42.9058,26.2698,22.1032,0.0096,-0.0538,-0.0442,18.2895,-126.5811,20.0000,100.0000,5.0178,5.6942,5.3560,1273292849.5389,-845714505.0000
